crime_type,day_of_week,time_of_day,crime_frequency
Driving Under The Influence,Friday,late_morning,0.005454545454545455
Driving Under The Influence,Friday,afternoon,0.02431818181818182
Driving Under The Influence,Friday,evening,0.08613636363636364
Driving Under The Influence,Saturday,early_morning,0.14272727272727273
Driving Under The Influence,Saturday,late_morning,0.00840909090909091
Driving Under The Influence,Saturday,afternoon,0.022045454545454545
Driving Under The Influence,Saturday,evening,0.07977272727272727
Driving Under The Influence,Sunday,early_morning,0.16045454545454546
Driving Under The Influence,Sunday,late_morning,0.006818181818181818
Driving Under The Influence,Sunday,afternoon,0.014772727272727272
Driving Under The Influence,Sunday,evening,0.03954545454545454
